Feature                           , F_score             , F_pvalue               , MI_score            , Lasso_weight          , CV_Accuracy        , ReliefF_score        , Permutation_score, F_score_norm          , MI_score_norm       , Lasso_weight_norm     , CV_Accuracy_norm    , ReliefF_score_norm  , Permutation_score_norm, MeanScore
PL_AAIndex1_399                   ,  84.84703111517695  , 1.2875185466120216e-104, 0.49689219621521685 , 0.01996439054449297   , 0.3451266638042078 , 0.23034450763043057  ,               0.0, 0.7201573688724399    , 0.5776709761501906  , 0.006331020225985174  , 1.0                 , 0.8446735456583772  ,                    0.0, 0.5248054851511655
PL_CTDC_32                        ,  93.91308815788258  , 1.317172570226018e-112 , 0.48207870155670207 , 0.008144085246611211  , 0.33038857878917993, 0.23773339453007805  ,               0.0, 0.7979032343556935    , 0.5604492810123715  , 0.0025826166996450375 , 0.9142089477630593  , 0.8713851581242852  ,                    0.0, 0.5244215396591758
BAS_PROP_BAS_PROP_Flexibility     ,  98.31068490895869  , 2.4846052271450816e-116, 0.5096884311036027  , 0.0                   , 0.32013739802490343, 0.23396151626356287  ,               0.0, 0.8356147735450303    , 0.5925474695934874  , 0.0                   , 0.854536365908523   , 0.8577494167883958  ,                    0.0, 0.5234080043059061
PL_AAIndex1_448                   ,  97.3369403424478   , 1.628618907025212e-115 , 0.5292973950523754  , 0.0                   , 0.314255045083727  , 0.2387109702605302   ,               0.0, 0.8272644384736316    , 0.615344223963675   , 0.0                   , 0.8202949262684331  , 0.874919198423259   ,                    0.0, 0.5229704645214998
PL_AAIndex1_56                    ,  93.57464503420621  , 2.5717753735819035e-112, 0.5345019400293807  , 0.005879970266961342  , 0.31130313439244317, 0.24931601527271482  ,               0.0, 0.7950009193312975    , 0.6213948615067569  , 0.001864630458183071  , 0.803111722069483   , 0.913257564728812   ,                    0.0, 0.5224382830157553
PL_AAIndex1_34                    ,  88.58544299515307  , 5.783057709493396e-108 , 0.4907054270217963  , 0.0                   , 0.3186668097896093 , 0.26362064068031327  ,               0.0, 0.7522160759567362    , 0.5704784361457362  , 0.0                   , 0.8459760059985006  , 0.9649703078722998  ,                    0.0, 0.5222734709955456
PL_CTDD_155                       ,  49.649575633629574 , 1.073206791518452e-68  , 0.8601647247827597  , 0.08886036874945591   , 0.3142550450837269 , 0.23605582809244355  ,               0.0, 0.418322003582864     , 1.0                 , 0.02817901155497526   , 0.8202949262684329  , 0.8653205769259933  ,                    0.0, 0.5220194197220442
PL_CTDD_55                        ,  49.649575633629574 , 1.073206791518452e-68  , 0.8575188356706245  , 0.0965225343915047    , 0.3142550450837269 , 0.23605582809244355  ,               0.0, 0.418322003582864     , 0.9969239739367324  , 0.03060880401703669   , 0.8202949262684329  , 0.8653205769259933  ,                    0.0, 0.5219117141218432
PL_CTDD_145                       ,  49.649575633629574 , 1.073206791518452e-68  , 0.8562256884899879  , 0.0948432495715052    , 0.3142550450837269 , 0.23605582809244355  ,               0.0, 0.418322003582864     , 0.9954206023808212  , 0.030076276558364062  , 0.8202949262684329  , 0.8653205769259933  ,                    0.0, 0.5215723976194125
PEP_BLOSUM1                       ,  98.4416300957276   , 1.9310591635661616e-116, 0.5324031266530835  , 0.0                   , 0.30397166165736367, 0.24808834706864466  ,               0.0, 0.8367376924532459    , 0.6189548481978792  , 0.0                   , 0.7604348912771806  , 0.9088194135229242  ,                    0.0, 0.5208244742418716
