Feature,MI_score
PL_AAIndex1_100,0.4767722571719104
PL_AAIndex1_297,0.4767134579432848
PL_AAIndex1_513,0.4766980761384678
PL_AAIndex1_182,0.47603635225149654
PL_AAIndex1_481,0.47581527858202044
PL_AAIndex1_427,0.475059923654932
PL_APAAC_7,0.47488466445721267
PL_AAIndex1_396,0.47477926027770945
PL_AAIndex1_437,0.47460014912760906
PL_AAIndex1_55,0.47284618528369116
PL_AAIndex1_528,0.4728276847890389
C,0.4722153368872939
PL_AAIndex1_179,0.4720355284810913
VHSE5,0.4719016153271727
PL_AAIndex1_486,0.47147781280409884
F1,0.4708084102815575
PL_AAIndex1_57,0.4703293101913566
PL_CTDC_8,0.4703086621879624
PL_PAAC_19,0.4701144405008506
PL_AAIndex1_386,0.47004559479337216
