Feature,F_score,p_value
PL_CKSAAP_236,14.423663528974084,1.8750794474635402e-21
PL_CTD_274,14.42143951806592,1.890030769468361e-21
PL_CTD_66,14.396630131323358,2.0651396140150698e-21
PL_CTDD_78,14.388543373652206,2.1256604664838163e-21
PL_CTDD_188,14.388543373652206,2.1256604664838163e-21
PL_AAIndex1_318,14.371560409625266,2.2586084383824687e-21
PL_CKSAAP_326,14.366228287500771,2.3020448688710254e-21
FDS,14.348130984220235,2.4558076970347044e-21
PL_CTD_121,14.346693985698865,2.4684493904520958e-21
PL_CTD_235,14.344722484591403,2.485899431502035e-21
PL_AAIndex1_18,14.344046051165215,2.491915080025698e-21
PL_CTDD_34,14.33676433695903,2.5576038007542263e-21
PL_AAIndex1_456,14.334792113455537,2.575692076147437e-21
PL_CKSAAP_136,14.292788201504747,2.9928845649074837e-21
PL_CTDT_31,14.268440645088198,3.265051790679557e-21
DGH,14.268137894257857,3.268587717414377e-21
PL_CKSAAP_299,14.25778442802384,3.39184669662408e-21
PL_CTD_33,14.255447230280314,3.420309497694891e-21
PL_AAIndex1_368,14.240444535201618,3.608801693447062e-21
ST6,14.227420609293738,3.780853871402699e-21
PL_AAIndex1_73,14.224886127099756,3.815279050420217e-21
PL_CKSAAP_351,14.22349432974068,3.8343168718754654e-21
PL_AAIndex1_377,14.22111307445737,3.867110101823132e-21
PE,14.217768253457221,3.913648177094796e-21
PL_CTD_254,14.21439332478605,3.961173993577312e-21
PL_CTD_74,14.206904990595394,4.0687003244516736e-21
PL_AAIndex1_96,14.186170087834073,4.381945698694829e-21
PL_AAIndex1_26,14.180700140605767,4.468536086725473e-21
PL_CKSAAP_223,14.175218747180358,4.557027741494995e-21
PL_CKSAAP_200,14.17033033114189,4.63742670782678e-21
PL_AAIndex1_436,14.155829460220069,4.8843796808445935e-21
PL_CKSAAP_245,14.14668007416838,5.04693291724662e-21
GS.1,14.141421196071962,5.142807188412799e-21
FDG,14.139520871564422,5.177898980993203e-21
PL_CKSAAP_55,14.135903020475348,5.245371579065631e-21
PL_CTD_6,14.134079391628418,5.279715354740196e-21
IF,14.122174263416252,5.509525115099739e-21
PL_CTD_65,14.114737871328005,5.658131882385428e-21
EQ,14.104805130011542,5.8629095156685376e-21
AF,14.100224335258979,5.9598354079025875e-21
PL_CKSAAP_161,14.067761756015894,6.69430938189767e-21
PL_AAIndex1_118,14.060050793442565,6.881707789211605e-21
PL_CKSAAP_76,14.041231161482456,7.361449499193227e-21
PL_CTD_224,13.964248157780817,9.698935841817958e-21
PL_APAAC_19,13.943141726504178,1.0460936126739674e-20
SGS,13.917815137320007,1.1454896178479753e-20
PL_CKSAAP_235,13.9034524109356,1.2060069473376937e-20
PL_CKSAAP_51,13.895526408879052,1.2407643754304437e-20
SG.1,13.877753029657299,1.3223979191891784e-20
PL_AAIndex1_417,13.844104548370437,1.491976343498618e-20
PL_CTD_222,13.83729859790386,1.528840504626156e-20
PL_CKSAAP_181,13.834755835831775,1.5428462729001697e-20
PL_CKSAAP_48,13.833232566417886,1.5512980850607387e-20
DG,13.819538612988943,1.629392556058068e-20
SGH,13.813002131540639,1.668046128094113e-20
SV4,13.800414731716774,1.745089318936115e-20
PL_CTD_285,13.793137255938765,1.7912486179535577e-20
PL_CTD_273,13.789708439246112,1.8134188357987392e-20
PL_AAIndex1_409,13.788617222067193,1.820531997235615e-20
PL_CKSAAP_355,13.785897001281171,1.838385862827782e-20
PL_CTD_282,13.784969475201784,1.844513600221094e-20
PL_AAIndex1_281,13.773467642665558,1.9222231723929577e-20
PL_CKSAAP_1,13.751224810959162,2.081931128780695e-20
SSS,13.741353645841551,2.157004457696154e-20
PL_CKSAAP_34,13.73820519642959,2.1815153816091976e-20
DFS,13.71932093184194,2.3345005703769508e-20
PL_CKSAAP_303,13.718707093522799,2.3396498525127552e-20
PL_CTD_32,13.69351182113536,2.5611212206210117e-20
PL_CTD_296,13.670296271060993,2.7837437107527145e-20
PL_CKSAAP_249,13.666328051736032,2.823692088550595e-20
PL_CKSAAP_370,13.651360253248537,2.9796130296621886e-20
PL_CKSAAP_379,13.648696367833637,3.0082539606849404e-20
PL_CTDD_21,13.640218272794701,3.101255677562358e-20
PL_CTD_206,13.629268786899278,3.225643654877561e-20
PL_CTDD_88,13.594070451062255,3.660387661877018e-20
YE,13.589149090393805,3.725681046976794e-20
PL_AAIndex1_423,13.574553301777065,3.926272393411131e-20
PL_CKSAAP_186,13.56930401540301,4.001029929074057e-20
PL_CKSAAP_397,13.558901870992905,4.153411559978168e-20
PL_CKSAAP_72,13.544746422999083,4.3701595818784003e-20
PL_CTD_252,13.538722110314035,4.465808271987815e-20
PL_CTDT_35,13.535885949693784,4.511561744059395e-20
FI,13.532645807322723,4.5644074041914197e-20
PL_CTDD_58,13.53214197483068,4.572680283390888e-20
PL_PAAC_19,13.50601641493286,5.0228964564076513e-20
PL_CKSAAP_388,13.496162115002866,5.204023524730768e-20
PL_AAIndex1_334,13.49124376542282,5.2968591092720987e-20
PL_AAIndex1_365,13.468415747905867,5.749948622966699e-20
DFF,13.457828775657692,5.973065299797522e-20
PL_CKSAAP_53,13.40670484852293,7.178816630696483e-20
PL_CKSAAP_37,13.394443225605997,7.50256462663065e-20
PL_CTD_19,13.382073798263171,7.843984208195056e-20
PL_CTDD_183,13.36808686148849,8.248842251507652e-20
PL_CTD_229,13.359143473110894,8.518619885191506e-20
PL_CKSAAP_23,13.345073879717765,8.961035294106411e-20
PL_CKSAAP_125,13.340652863996947,9.104751640295719e-20
PL_CTD_77,13.334760199477053,9.299904546083278e-20
LV,13.33132262433578,9.415679850843545e-20
PL_CKSAAP_141,13.329203916943296,9.487754711926663e-20
PL_CTDD_133,13.329065270256764,9.492490463470403e-20
SH.1,13.323022702051071,9.701203650677086e-20
