Feature,ReliefF_score
PL_AAIndex1_7,0.33217306006552527
PL_AAIndex1_401,0.3321171192908964
PL_AAIndex1_380,0.3319132234975341
PL_AAIndex1_521,0.33071335595419604
PL_AAIndex1_100,0.3289635121259661
PL_AAIndex1_399,0.32893911398655673
PL_AAIndex1_510,0.32890314397302833
PL_AAIndex1_39,0.3284895981415432
PL_AAIndex1_180,0.3283620702408852
PL_CTDC_26,0.32790325001566295
PL_AAIndex1_233,0.32778257849196685
GD.1,0.32648356737129614
PL_AAIndex1_40,0.32568930275852476
PL_AAIndex1_278,0.3254099373855533
PL_AAIndex1_427,0.325275074247346
PL_AAIndex1_502,0.3249641796990363
PL_AAIndex1_367,0.3241736036411514
PL_CTDC_17,0.32365782625245554
PL_AAIndex1_178,0.32335664221142496
PL_QSO_Grantham_3,0.3227353220304886
